41;Nb;niobium;Atmenetifemek;92,906;8,570;2741,150;5017,000;0,265
7;N;nitrogen;Nemfemek;14,006;0,001;63,290;77,360;1,040
102;No;nobelium;Aktinoidak;259,101;0,000;0,000;0,000;0,000
82;Pb;olom;Masodfajufemek;207,200;11,342;600,750;2022,000;0,129
50;Sn;on;Masodfajufemek;118,710;7,287;505,210;2875,000;0,228
8;O;oxigen;Nemfemek;15,999;0,001;50,500;90,200;0,918
76;Os;ozmium;Atmenetifemek;190,230;22,610;3300,150;5285,000;0,130
46;Pd;palladium;Atmenetifemek;106,420;12,020;1825,150;3236,000;0,244
78;Pt;platina;Atmenetifemek;195,084;21,460;2045,150;4098,000;0,133
94;Pu;plutonium;Aktinoidak;244,064;19,840;913,150;3501,000;0,000
84;Po;polonium;Felfemek;208,982;9,320;527,150;1235,000;0,000
59;Pr;prazeodimium;Lantanoidak;140,908;6,773;1204,150;3793,000;0,193
61;Pm;prometium;Lantanoidak;146,915;7,260;1204,150;3273,000;0,000
91;Pa;protaktinium;Aktinoidak;231,036;15,370;1873,150;4300,000;0,000
88;Ra;radium;Alkalifoldfemek;226,025;5,500;973,150;2010,000;0,000
86;Rn;radon;Nemesgazok;222,018;0,010;202,150;211,300;0,094
104;Rf;radzerfordium;Atmenetifemek;265,000;18,100;0,000;0,000;0,000
75;Re;renium;Atmenetifemek;186,207;21,020;3453,150;5869,000;0,137
29;Cu;rez;Atmenetifemek;63,546;8,960;1357,750;2835,000;0,385
45;Rh;rodium;Atmenetifemek;102,906;12,410;2239,150;3968,000;0,243
111;Rg;rontgenium;Atmenetifemek;283,000;19,282;0,000;0,000;0,000
37;Rb;rubidium;Alkalifemek;85,468;1,532;312,790;961,000;0,363
44;Ru;rutenium;Atmenetifemek;101,070;12,370;2523,150;4423,000;0,238
38;Sr;stroncium;Alkalifoldfemek;87,620;2,640;1042,150;1655,000;0,301
62;Sm;szamarium;Lantanoidak;150,360;7,520;1345,150;2067,000;0,197
34;Se;szelen;Nemfemek;78,971;4,809;494,150;958,000;0,321
